date,index_value,num_constituents,is_rebalance_day
2026-09-01,1016.318,4,False
2026-09-02,1014.9765,4,False
2026-09-03,1017.3045,4,False
2026-09-04,1016.0036,4,False
2026-09-05,1027.7674,4,False
2026-09-07,1027.8999,4,False
2026-09-08,1030.3453,4,False
2026-09-09,1044.9981,4,False
2026-09-10,1041.7748,4,False
2026-09-11,1024.0672,4,False
2026-09-12,1025.232,4,False
2026-09-14,1008.7823,4,False
2026-09-15,1025.3831,4,False
2026-09-16,1015.4084,4,False
2026-09-17,1009.6889,4,False
2026-09-18,1011.6167,4,False
2026-09-19,1024.4371,4,False
2026-09-21,1007.1807,4,False
2026-09-22,978.8383,4,False
2026-09-23,1010.4298,4,false
